Freq [GHz],S12 Mag,S13 Mag,S14 Mag,S23 Mag,S24 Mag,S34 Mag,S12 Phase,S13 Phase,S14 Phase,S23 Phase,S24 Phase,S34 Phase,S11 Mag,S22 Mag,S33 Mag,S44 Mag,S11 Phase,S22 Phase,S33 Phase,S44 Phase,,Size
0.5,-37.18772365,-31.41888485,-34.1288557,-29.03781701,-33.33202684,-40.78979875,164.9262774,149.1380126,-143.8809737,-10.61459287,-102.0795359,-61.55337117,-0.331620119,-0.204847834,-0.397357212,-0.219184016,-13.93501204,-23.02312934,-21.88240782,-17.09515735,,20
0.5058,-36.52966918,-31.6478377,-32.65761256,-32.23952436,-34.75497397,-41.21104285,156.2044989,146.7627635,-145.7477713,-27.15913694,-111.1240661,-62.74173305,-0.263458785,-0.195931041,-0.454456266,-0.201554754,-14.19213981,-23.26713729,-22.6901635,-17.71560224,,20
0.5116,-35.77620236,-31.91752643,-31.3265016,-34.76812999,-36.35321215,-42.01622736,145.86652,144.6367982,-149.3660672,-29.60394199,-120.0310758,-70.3963108,-0.224686039,-0.184202925,-0.533002449,-0.191447267,-14.69893769,-23.57930884,-23.31076479,-18.26922465,,20
0.5174,-34.78875068,-31.9199465,-29.91616876,-36.36195893,-37.89314929,-43.35495725,136.0363779,142.4894741,-154.2531161,-31.4571219,-128.0761703,-72.34261381,-0.193857731,-0.179146941,-0.634685651,-0.190974421,-15.25767904,-23.90086197,-23.77338666,-18.98611551,,20
0.5232,-33.95571134,-31.92294149,-28.48887741,-37.7327085,-39.60375097,-45.04649934,125.6170789,139.3954809,-161.3967893,-30.63669661,-135.5403493,-71.79739841,-0.188661306,-0.178597702,-0.805936182,-0.194008645,-15.60182093,-24.10957428,-23.8183537,-19.46358563,,20
0.529,-33.06326505,-32.0641051,-27.23620222,-38.50046017,-41.07294733,-46.00548646,117.7462392,135.4028228,-170.9488765,-27.61229009,-144.091305,-66.48916582,-0.196225201,-0.192265458,-1.021786797,-0.238615643,-16.12351013,-24.36412622,-23.30266615,-20.22015835,,20
0.5348,-31.84172904,-32.11817866,-26.18379995,-38.72872413,-42.68805572,-46.31509379,111.6901424,132.010783,176.4723437,-26.15270896,-154.8730982,-59.12378458,-0.201309014,-0.215452997,-1.236186103,-0.310056382,-16.41720156,-24.63960013,-21.97210262,-20.90024019,,20
0.5406,-30.37226646,-31.89878004,-25.83847853,-38.27187357,-44.50753213,-46.70519882,104.4138872,127.7501338,161.7431628,-26.66041276,-168.0837914,-54.65742393,-0.210114009,-0.234127037,-1.327525702,-0.426694268,-16.78476928,-24.78319479,-19.4551522,-21.48772662,,20
0.5464,-28.87321706,-31.79393521,-26.45437554,-37.96116308,-46.43977202,-46.04022336,96.01085218,120.8691269,149.7596477,-32.46823679,177.293422,-47.88141305,-0.239689749,-0.253991307,-1.160045527,-0.598783511,-17.20994003,-25.00037305,-17.50150253,-21.76827426,,20
0.5522,-27.21178254,-32.16505432,-27.06399545,-37.78816259,-47.41319959,-44.59808918,86.92451639,113.299984,143.7105536,-42.2863544,160.4791984,-49.9524484,-0.274457902,-0.26523376,-0.950859448,-0.794559689,-17.55642236,-25.12181673,-16.67456638,-21.50112822,,20
0.558,-25.39954457,-32.64565719,-27.35714875,-39.26158684,-47.69216301,-44.3400306,75.38414395,108.0636545,139.9189443,-55.3523996,138.9727808,-55.60060641,-0.345436654,-0.273546245,-0.798711027,-0.94047826,-18.00958158,-25.34722254,-16.46008508,-20.21258184,,20
0.5638,-23.63696044,-32.9265664,-27.41952621,-41.90887621,-46.90961742,-44.93276743,59.58398955,101.5432436,137.0742462,-59.14814724,121.1658505,-62.61493653,-0.475867994,-0.277783352,-0.682775976,-0.893697368,-18.3076946,-25.60754085,-16.75095811,-18.64562098,,20
0.5696,-22.43008604,-33.22425596,-27.21471923,-44.97325046,-44.70022204,-45.3095754,38.28421762,92.08189737,135.8195599,-45.18286445,110.0186739,-64.89668524,-0.649579396,-0.287574364,-0.632853058,-0.751288455,-18.27101021,-25.85153638,-17.28877618,-17.9125536,,20
0.5754,-22.49216843,-34.37287684,-26.46721261,-43.63870975,-40.92340297,-45.57530661,13.946781,80.84293274,134.0161995,-18.6439516,95.47798792,-63.80764668,-0.784382627,-0.300429629,-0.637849449,-0.629055664,-17.29055032,-26.32479558,-18.05025598,-17.91886634,,20
0.5812,-24.06648181,-36.47213728,-25.46429361,-40.58365046,-38.05186939,-45.25180682,-6.190297655,70.76032733,129.9804998,-15.68668842,73.08431481,-66.51719014,-0.775918417,-0.322984101,-0.682401323,-0.544060862,-16.16046082,-26.77383776,-18.56905021,-18.01906275,,20
0.587,-26.14450817,-39.58050487,-24.21961161,-38.76379311,-36.1008485,-44.00209844,-16.7605101,63.3416846,123.1383904,-22.66093324,54.46857414,-72.32515481,-0.678326441,-0.364180417,-0.748494725,-0.459618431,-15.5843088,-27.43957902,-18.99472819,-18.27113825,,20
